Product List
Hydrate Facial: 30 or 50 minutes
Revitalize Facial: 30 or 50 minute
Retexturize Facial: 30 or 50 minute
Pure Clarity Facial: 30 or 50 minute
High Frequency Facial
Ultrasonic Facial
Microdermabrasion Facial
Dermaplaning Facial
Chemical Peel
Oxygenating Facial
Detoxifying Deep Pore Treatment with Ultrasonic
Micro-Needling
Brow Wax
Lip or Chin
Combo of Lip and Chin
Full Face Wax
Half Leg Wax
Full Leg Wax
Half Arm Wax
Full Arm Wax
Armpit Wax
Bikini Wax
Extended Bikini Wax
Brazilian Wax
Brazilian Maintenance
Brazilian Trimming
Brow Tint
Lash Tint
Lash and Brow tint
Classic Lash Set
Volume Lash Set
Mega Lash Fill
Volume Lash Fill
Classic Lash Fill
Mini Lash Fill
Lash Removal
Lash Lift and Tint
Microblading
Microblading Touch Up
Special Occasion Updo
Wash and Style
Deep Conditioning Treatment
Women's Cut
Men's Cut 
Kid's Cut
Bang Trim
All Over Color
Color Root Touch Up
Full Balayage
Partial Balayage
Reverse Balayage
Partial Foil
Partial Foil with an All Over Color
Full Foil
Full Foil with an All Over Color
Full Bleach and Tone
Bleach and Tone Retouch
Corrective Color 
Mini Foil
Accent Foil
Ombre
Designer Perm
Extension Consultation
Extention Application
Extension Move Up
Toner 
Undercut
